epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2704.89,1.11017,2.97807,1.39611,0.67484,0.40796,0.41081,0.24169,1.51135,3.7181,1.77999,0.000474792,0.000474792,0.000474792
2,5486.4,1.27736,2.14248,1.51978,0.70458,0.35358,0.37784,0.17239,1.91731,3.4144,2.16642,0.000919738,0.000919738,0.000919738
3,8247.77,1.32958,1.90113,1.55979,0.84935,0.40671,0.46542,0.26446,1.93623,3.67187,2.31467,0.00133325,0.00133325,0.00133325
4,10958.8,1.27131,1.73744,1.52872,0.79629,0.33512,0.43765,0.25599,1.86957,3.86892,2.079,0.00128753,0.00128753,0.00128753
5,21196.3,1.21522,1.60784,1.47288,0.51994,0.43517,0.48946,0.30728,1.66515,3.69268,1.95418,0.00124037,0.00124037,0.00124037
6,25016.9,1.16191,1.48797,1.43335,0.86851,0.47252,0.51351,0.33241,1.74122,3.78493,2.10002,0.00119322,0.00119322,0.00119322
7,30019.9,1.10721,1.41662,1.3954,0.54012,0.5123,0.54061,0.36406,1.62126,3.70552,1.85739,0.00114606,0.00114606,0.00114606
8,31980.5,1.06924,1.35116,1.37081,0.58757,0.47134,0.54237,0.36254,1.63661,3.81421,1.85316,0.0010989,0.0010989,0.0010989
9,35071.7,1.06303,1.31915,1.35743,0.55939,0.49129,0.55184,0.37546,1.60608,3.86662,1.9025,0.00105174,0.00105174,0.00105174
10,38118.9,1.02228,1.23797,1.32828,0.56782,0.50973,0.55938,0.38205,1.54448,3.86945,1.77497,0.00100459,0.00100459,0.00100459
11,40860.5,0.99846,1.19472,1.30924,0.88048,0.52467,0.55824,0.39099,1.5598,3.85752,1.8306,0.00095743,0.00095743,0.00095743
12,42754.6,0.96413,1.13257,1.28376,0.5629,0.54933,0.5735,0.40916,1.48109,3.88907,1.75405,0.000910273,0.000910273,0.000910273
13,44620.3,0.96726,1.15482,1.27674,0.58417,0.52301,0.57311,0.41653,1.52347,3.93198,1.82744,0.000863116,0.000863116,0.000863116
14,46583.9,0.92532,1.07052,1.25904,0.56799,0.5395,0.57587,0.4024,1.47235,3.91771,1.7569,0.000815959,0.000815959,0.000815959
15,48592.9,0.93123,1.07756,1.26151,0.58569,0.54201,0.58615,0.41745,1.50838,3.89477,1.76579,0.000768802,0.000768802,0.000768802
16,50576.2,0.92781,1.04769,1.24854,0.58388,0.56202,0.58517,0.42345,1.55504,3.94657,1.82801,0.000721645,0.000721645,0.000721645
17,53469.6,0.87672,0.9891,1.22411,0.57734,0.56625,0.59255,0.43989,1.44405,3.9365,1.72799,0.000674488,0.000674488,0.000674488
18,56394.9,0.87738,1.01046,1.21815,0.59533,0.55154,0.59142,0.43173,1.47204,3.9672,1.73605,0.000627331,0.000627331,0.000627331
19,59349.3,0.86155,0.96859,1.21671,0.58037,0.56322,0.59593,0.43595,1.46388,3.98159,1.75937,0.000580174,0.000580174,0.000580174
20,61991.1,0.86069,0.95129,1.20984,0.60029,0.56544,0.59342,0.4491,1.45344,4.03752,1.74584,0.000533017,0.000533017,0.000533017
21,63985.5,0.8444,0.90736,1.2027,0.59773,0.56659,0.60087,0.45,1.42237,3.93354,1.69677,0.00048586,0.00048586,0.00048586
22,66293,0.81576,0.84817,1.18413,0.58471,0.57532,0.60283,0.44731,1.44258,3.90444,1.70278,0.000438703,0.000438703,0.000438703
23,68708.9,0.8051,0.81086,1.17715,0.60321,0.5747,0.60226,0.45868,1.36632,3.9448,1.62046,0.000391546,0.000391546,0.000391546
24,70879,0.78147,0.78603,1.14906,0.57564,0.58334,0.59973,0.45745,1.36583,4.00102,1.62531,0.000344389,0.000344389,0.000344389
25,73386.5,0.76542,0.76882,1.13011,0.91959,0.58826,0.60481,0.46742,1.37596,3.97626,1.64653,0.000297232,0.000297232,0.000297232
26,76363.8,0.77174,0.77052,1.13489,0.60005,0.58252,0.60784,0.46332,1.4055,4.01296,1.66785,0.000250075,0.000250075,0.000250075
27,79288,0.74587,0.7302,1.12231,0.94125,0.58336,0.60961,0.46925,1.34054,4.02567,1.59903,0.000202918,0.000202918,0.000202918
28,82245.3,0.72275,0.68579,1.10612,0.60602,0.5859,0.61119,0.4764,1.35464,4.03089,1.62329,0.000155761,0.000155761,0.000155761
29,83778,0.70803,0.65534,1.09438,0.6085,0.58638,0.61206,0.48085,1.33202,4.03786,1.59846,0.000108604,0.000108604,0.000108604
30,85636.6,0.69564,0.64306,1.08841,0.60841,0.59104,0.6144,0.47942,1.3462,4.01831,1.61508,6.1447e-05,6.1447e-05,6.1447e-05
